SEXO                            ,EDAD                            ,MES                             ,ESTATURA                        ,PESO                            ,POLITICA                        ,DIGITO                          ,RESIDENCIA                      ,TRANSPORTE                      ,TIEMPO                          ,PROBLEMA                        ,Col_12                          ,Col_13                          ,Col_14                          ,Col_15                          ,Col_16                          ,Col_17                          ,Col_18                          ,Col_19                          ,Col_20                          
chicas               ,20            ,5             ,168           ,62            ,pasan                ,7             ,familia              ,coche                ,45            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,9             ,160           ,49            ,centro               ,4             ,otra                 ,a pie                ,30            ,                     ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,21            ,1             ,161           ,46            ,izquierda            ,3             ,piso                 ,a pie                ,30            ,droga                ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,23            ,6             ,173           ,78            ,derecha              ,1             ,piso                 ,coche                ,15            ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicas               ,22            ,7             ,158           ,56            ,izquierda            ,5             ,piso                 ,a pie                ,20            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,6             ,195           ,84            ,izquierda            ,7             ,residencia           ,a pie                ,16            ,valores              ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,3             ,185           ,79            ,pasan                ,8             ,residencia           ,a pie                ,15            ,desigualdad          ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,20            ,12            ,170           ,56            ,pasan                ,7             ,familia              ,t publico            ,60            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,21            ,7             ,173           ,81            ,derecha              ,4             ,familia              ,coche                ,8             ,terrorismo           ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,27            ,4             ,183           ,66            ,izquierda            ,7             ,familia              ,a pie                ,24            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
chicos               ,22            ,6             ,167           ,60            ,centro               ,9             ,piso                 ,a pie                ,20            ,paro                 ,              ,              ,              ,              ,              ,              ,              ,              ,                     
